chassis_serie,close_date,close_datetime,component,creation_datetime,creation_date,severity_cur,customer_type,dealer_city,dealer_id,dealer_country,dealer_name,dealer_state,error_code,failure_mode,first_queued_seconds,region,owner_country,owner_department,description,mileage,mileage_unit,product_id,product,creator_country,creator_department,time_to_close_seconds,assigned_team,sr_area,sr_type,severity,ticket_channel,status_line,status,sub_status,ticket_id,chassis_number,vin_number
S-655,,,Hydrogen Injector,2026-01-28 21:00:00,2026-01-28,Medium,Dealer,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1004,Wear,2867,South America,Brazil,Customer Support,[TEST-VARIANT-B] Degraded in Gearbox of the Transmission System. Pls advise. :: synthetic drift scenario,412054,miles,P-6303,Hydrogen Drive Unit,China,Operations,,Escalation Lab,Engine,Performance Issue,Critical,VIP Hotline,Open,New,Reopened,variant-b-000669,CH178419,8S2VT9K9Y97NE7DXY
S-393,,,AI Sensor Rack,2026-01-28 22:00:00,2026-01-28,Medium,Fleet Operator,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,F-3002,Failure,6110,North America,China,Engineering,[TEST-VARIANT-B] Transmission System Gearbox has fault; note the unusual behavior. :: synthetic drift scenario,294105,km,P-6528,Hydrogen Drive Unit,USA,Field Service,,Warranty Taskforce,Electrical,Performance Issue,High,VIP Hotline,Open,New,Parts Ordered,variant-b-000670,CH614889,XMF0HFKDA9E9KW70A
S-625,,,AI Sensor Rack,2026-01-28 23:00:00,2026-01-28,Medium,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,W-2003,Wear,4471,North America,USA,Field Service,[TEST-VARIANT-B] Customer reports wear at the hydraulic pump of the transmission system needs inspection :: synthetic drift scenario,273063,miles,P-8098,Hydrogen Drive Unit,Germany,Quality,,Escalation Lab,Suspension,Maintenance Request,Medium,VIP Hotline,Open,Escalated,Reopened,variant-b-000671,CH956477,XTNZB7CSZGVA9XPZZ
S-858,2026-03-27,2026-03-27 23:43:55+00:00,AI Sensor Rack,2026-01-29 00:00:00,2026-01-29,Critical,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1003,Failure,6211,South America,China,Sales,[TEST-VARIANT-B] Turbocharger appears fault. Intermittent fault. happens intermittently. :: synthetic drift scenario,6337,km,P-1325,Autonomous Controller,Brazil,Field Service,2520000.0,Field Ops Rapid,Engine,Performance Issue,Critical,VIP Hotline,Closed,Closed,Action Required,variant-b-000672,CH665068,KHYXTJF15R6UT8VD5
S-184,,,Safety Controller,2026-01-29 01:00:00,2026-01-29,High,Service Partner,Toronto,D-1005,Canada,CanService Dealer,ON,F-3001,Short Circuit,5806,Asia,Germany,Operations,"[TEST-VARIANT-B] Transmission System Hydrualic Pump has spark, unclear if related to recent service. happens intermittently. :: synthetic drift scenario",31766,miles,P-2189,Hydrogen Drive Unit,China,Operations,,Warranty Taskforce,Brakes,Safety Concern,Critical,VIP Hotline,Open,Escalated,Reopened,variant-b-000673,CH822418,M3FRPR3H12T6XAEX2
S-170,,,Safety Controller,2026-01-29 02:00:00,2026-01-29,High,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,W-2003,Failure,6940,North America,Brazil,Sales,[TEST-VARIANT-B] Rpt: Electrical System Sensors showing stopped working after long run. fault appears after long run. :: synthetic drift scenario,156642,miles,P-8138,Autonomous Controller,Germany,Sales,,Escalation Lab,Suspension,Technical Issue,High,Proactive Monitoring,Open,Awaiting Parts,Action Required,variant-b-000674,CH711284,4B6X804FREYNXLGJA
S-251,,,Safety Controller,2026-01-29 03:00:00,2026-01-29,Low,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,F-3002,Wear,5469,North America,USA,Field Service,[TEST-VARIANT-B] Battery seems to have abrasion; driver says it started after startup. repro after warm-up. :: synthetic drift scenario,35428,km,P-6597,Hydrogen Drive Unit,Germany,Customer Support,,Escalation Lab,Electrical,Recall Related,Medium,Proactive Monitoring,Open,In Progress,Action Required,variant-b-000675,CH334262,BYU7EVNX880YPDAV2
S-212,2026-04-13,2026-04-13 16:28:21+00:00,Safety Controller,2026-01-29 04:00:00,2026-01-29,Low,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1002,Noise,6250,South America,France,Operations,[TEST-VARIANT-B] Sensors seems to have clunknig; driver says it started after startup. :: synthetic drift scenario,233139,miles,P-5552,Hydrogen Drive Unit,France,Sales,1821600.0,Escalation Lab,Brakes,Recall Related,Medium,VIP Hotline,Closed,Closed,Reopened,variant-b-000676,CH910831,AHU91XH6LFZ8A8ZEX
S-602,2025-05-23,2025-05-23 14:44:26+00:00,Safety Controller,2026-01-29 05:00:00,2026-01-29,Low,Independent Owner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,W-2001,Wear,3142,Asia,Brazil,Engineering,[TEST-VARIANT-B] Review Engine Control Module Cooling Pump: possible worn and reduced performance.WIP :: synthetic drift scenario,420620,km,P-8439,Hydrogen Drive Unit,China,Field Service,1972800.0,Field Ops Rapid,Body/Chassis,Performance Issue,Medium,Proactive Monitoring,Closed,Resolved,Reopened,variant-b-000677,CH943706,D3P9HTSADV9A7GAB8
S-797,,,Safety Controller,2026-01-29 06:00:00,2026-01-29,High,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,E-1005,Short Circuit,6370,North America,Germany,Sales,"[TEST-VARIANT-B] Urgent: spark observed in Cooling Pump, maybe the engine control module. :: synthetic drift scenario",278047,km,P-5520,Autonomous Controller,China,Customer Support,,Warranty Taskforce,Transmission,Maintenance Request,High,Proactive Monitoring,Open,Awaiting Parts,Waiting on Customer,variant-b-000678,CH943424,4Z70A8MFYCXKD30WF
S-349,,,AI Sensor Rack,2026-01-29 07:00:00,2026-01-29,High,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,F-3002,Wear,4435,South America,China,Sales,[TEST-VARIANT-B] Brake System Hydraulic Line has wear; note the unusual behavior. pls :: synthetic drift scenario,230314,km,P-2540,Autonomous Controller,China,Operations,,Escalation Lab,Brakes,Warranty Claim,High,VIP Hotline,Open,Assigned,Completed,variant-b-000679,CH747514,RP1EMEP488VLRBXJU
S-892,2026-02-18,2026-02-18 05:27:40+00:00,AI Sensor Rack,2026-01-29 08:00:00,2026-01-29,High,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,W-2001,Overheating,4489,South America,Canada,Engineering,[TEST-VARIANT-B] Overheating in Wirnig Harness of the Electrical System. Pls advise. check asap. :: synthetic drift scenario,267234,miles,P-2911,Hydrogen Drive Unit,France,Engineering,2235600.0,Warranty Taskforce,Engine,Warranty Claim,Critical,Proactive Monitoring,Closed,Resolved,Parts Ordered,variant-b-000680,CH316907,75PA0ZSXTCYMY84MX
S-420,,,AI Sensor Rack,2026-01-29 09:00:00,2026-01-29,Critical,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,W-2001,Leak,69,Asia,Brazil,Quality,[TEST-VARIANT-B] There is leaking on the ABS Sensor. Needs part.s check asap. :: synthetic drift scenario,311711,miles,P-1965,Autonomous Controller,China,Customer Support,,Escalation Lab,Electrical,Performance Issue,Medium,Proactive Monitoring,Open,Awaiting Parts,Completed,variant-b-000681,CH665927,N7YAL4W7WG8SM2U48
S-865,,,Hydrogen Injector,2026-01-29 10:00:00,2026-01-29,Low,Fleet Operator,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1003,Failure,3396,North America,Canada,Operations,[TEST-VARIANT-B] Customer reports failure at the hydraulic line of the brake system. :: synthetic drift scenario,425626,km,P-5447,Hydrogen Drive Unit,Brazil,Quality,,Warranty Taskforce,Electrical,Technical Issue,High,Proactive Monitoring,Open,Awaiting Parts,Waiting on Customer,variant-b-000682,CH957178,0EA3VMPNY3RU9W6X9
S-505,,,Safety Controller,2026-01-29 11:00:00,2026-01-29,Low,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,W-2001,Failure,2625,North America,France,Engineering,[TEST-VARIANT-B] Clutch seems to have failure; driver says it startde after startup. no obvious warning light. :: synthetic drift scenario,164566,km,P-2177,Hydrogen Drive Unit,Germany,Field Service,,Field Ops Rapid,Transmission,Performance Issue,Critical,VIP Hotline,Open,In Progress,Waiting on Customer,variant-b-000683,CH725975,UJZZ5CS8RNGW2Y993
S-732,2026-03-08,2026-03-08 12:05:18+00:00,Safety Controller,2026-01-29 12:00:00,2026-01-29,Critical,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,E-1004,Failure,5971,Asia,France,Operations,[TEST-VARIANT-B] Cooling Pump seems to ahve failure; driver says it started after startup :: synthetic drift scenario,289122,km,P-2045,Autonomous Controller,France,Operations,1533600.0,Escalation Lab,Transmission,Maintenance Request,High,VIP Hotline,Closed,Resolved,Investigation,variant-b-000684,CH398700,4BUYNM5WEBJKBXC6C
S-727,2026-04-05,2026-04-05 09:22:21+00:00,AI Sensor Rack,2026-01-29 13:00:00,2026-01-29,Low,Dealer,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1001,Leak,3904,Asia,France,Engineering,[TEST-VARIANT-B] Seepage in Clutch of the Transmission System. Need fix asap. :: synthetic drift scenario,316755,km,P-6983,Autonomous Controller,Brazil,Engineering,331200.0,Escalation Lab,Body/Chassis,Warranty Claim,Critical,Proactive Monitoring,Closed,Closed,Waiting on Customer,variant-b-000685,CH194395,6UD4RESRFSNLCBYJH
S-792,,,Hydrogen Injector,2026-01-29 14:00:00,2026-01-29,Low,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1002,Leak,4093,Asia,USA,Quality,[TEST-VARIANT-B] Sensors has been seepage during operation Please check :: synthetic drift scenario,245427,miles,P-6631,Hydrogen Drive Unit,Canada,Engineering,,Field Ops Rapid,Engine,Technical Issue,High,Proactive Monitoring,Open,Assigned,Completed,variant-b-000686,CH637087,P6NTPNM7S9HLYAY8D
S-918,,,Hydrogen Injector,2026-01-29 15:00:00,2026-01-29,Medium,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1004,Short Circuit,4081,North America,France,Sales,[TEST-VARIANT-B] Customer reports short circuit at the hydraulic pump of the transmission system. happens intermittently. :: synthetic drift scenario,242367,km,P-9899,Autonomous Controller,China,Quality,,Warranty Taskforce,Engine,Technical Issue,High,Proactive Monitoring,Open,In Progress,Reopened,variant-b-000687,CH624222,E1KBP8ZN1FYTN4GE0
S-113,,,Hydrogen Injector,2026-01-29 16:00:00,2026-01-29,High,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,W-2001,Wear,1573,North America,Canada,Quality,"[TEST-VARIANT-B] Urgent: owrn observed in Wiring Harness, maybe the electrical system.WIP :: synthetic drift scenario",37690,miles,P-2881,Autonomous Controller,Brazil,Engineering,,Escalation Lab,Engine,Safety Concern,Critical,Proactive Monitoring,Open,Assigned,Completed,variant-b-000688,CH817493,US97RV4LAR1SD75E1
S-901,,,Safety Controller,2026-01-29 17:00:00,2026-01-29,High,Fleet Operator,Toronto,D-1005,Canada,CanService Dealer,ON,W-2002,Leak,1024,North America,USA,Customer Support,[TEST-VARIANT-B] Found drip from Wiring Harness. Looks like wear. needs inspection. :: synthetic drift scenario,368925,miles,P-9251,Hydrogen Drive Unit,China,Customer Support,,Field Ops Rapid,Engine,Performance Issue,Critical,VIP Hotline,Open,In Progress,Reopened,variant-b-000689,CH313198,FWJBR1XCFKNTYUZPG
S-154,2026-02-01,2026-02-01 07:19:42+00:00,Hydrogen Injector,2026-01-29 18:00:00,2026-01-29,Critical,Service Partner,Toronto,D-1005,Canada,CanService Dealer,ON,W-2003,Leak,1317,North America,Canada,Engineering,[TEST-VARIANT-B] Fuel nIjector has been fluid loss during operation. Urgent review. needs inspection. :: synthetic drift scenario,172724,miles,P-7361,Autonomous Controller,USA,Quality,2098800.0,Escalation Lab,Engine,Technical Issue,Critical,Proactive Monitoring,Closed,Resolved,Action Required,variant-b-000690,CH478349,GSZCC4U4UYYSXMMVP
S-763,,,Hydrogen Injector,2026-01-29 19:00:00,2026-01-29,Medium,Fleet Operator,Toronto,D-1005,Canada,CanService Dealer,ON,E-1004,Overheating,3112,Asia,China,Quality,[TEST-VARIANT-B] Rpt: Brake System Brake Pads showing overheating after long run no obvious warning light :: synthetic drift scenario,330306,miles,P-1881,Autonomous Controller,USA,Engineering,,Escalation Lab,Brakes,Warranty Claim,High,Proactive Monitoring,Open,In Progress,Completed,variant-b-000691,CH167879,4Y0ZTKP4TDU1VX3J2
S-354,,,Safety Controller,2026-01-29 20:00:00,2026-01-29,Low,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,E-1002,Failure,2257,Asia,France,Sales,[TEST-VARIANT-B] Gearbox appears afult No error light happens during idling :: synthetic drift scenario,204028,km,P-3861,Hydrogen Drive Unit,USA,Quality,,Escalation Lab,Engine,Safety Concern,Critical,Proactive Monitoring,Open,Assigned,Reopened,variant-b-000692,CH341391,LUGLK0D2P77DJJRZ7
S-564,,,Safety Controller,2026-01-29 21:00:00,2026-01-29,High,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,E-1002,Short Circuit,6195,North America,France,Operations,[TEST-VARIANT-B] pRt: Transmission System Clutch showing electrical fault after long run. repro after warm-up. :: synthetic drift scenario,52212,km,P-6721,Hydrogen Drive Unit,USA,Engineering,,Warranty Taskforce,Engine,Recall Related,Critical,Proactive Monitoring,Open,Awaiting Parts,Parts Ordered,variant-b-000693,CH769646,Z0GAA50ALM54Z14D3
S-421,,,Hydrogen Injector,2026-01-29 22:00:00,2026-01-29,Medium,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,W-2002,Wear,5423,Asia,China,Engineering,[TEST-VARIANT-B] There is degraded on the Turbocharger High prioriyt no obvious warning light :: synthetic drift scenario,190548,miles,P-7651,Hydrogen Drive Unit,Germany,Sales,,Field Ops Rapid,Suspension,Technical Issue,High,VIP Hotline,Open,Assigned,Completed,variant-b-000694,CH111548,REFRE5J2B9AWYAZ9A
S-810,,,AI Sensor Rack,2026-01-29 23:00:00,2026-01-29,High,Independent Owner,Toronto,D-1005,Canada,CanService Dealer,ON,E-1004,Leak,5357,EU,China,Field Service,"[TEST-VARIANT-B] Urgent: fluid loss observed in ABS Sensor, maybe the brake system. fault appears after long run. :: synthetic drift scenario",473148,km,P-5076,Autonomous Controller,Germany,Field Service,,Field Ops Rapid,Engine,Recall Related,High,VIP Hotline,Open,Awaiting Parts,Waiting on Customer,variant-b-000695,CH853172,4Y2767BKB8XHSWL0P
S-133,,,Safety Controller,2026-01-30 00:00:00,2026-01-30,High,Fleet Operator,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,W-2003,Wear,2012,Asia,Germany,Engineering,[TEST-VARIANT-B] ABS Sensro seems to have worn; driver says it started after startup occurs on cold start :: synthetic drift scenario,361069,miles,P-7412,Autonomous Controller,France,Operations,,Field Ops Rapid,Suspension,Recall Related,Medium,VIP Hotline,Open,New,Parts Ordered,variant-b-000696,CH413265,37J7FG53HAGY39UE4
S-387,,,Hydrogen Injector,2026-01-30 01:00:00,2026-01-30,Critical,Service Partner,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1001,Noise,2500,North America,Brazil,Customer Support,[TEST-VARIANT-B] Rpt: Electrical System Wiring Harness showing clunking after long run pls :: synthetic drift scenario,217695,km,P-8218,Hydrogen Drive Unit,Germany,Sales,,Field Ops Rapid,Brakes,Recall Related,High,Proactive Monitoring,Open,Assigned,Reopened,variant-b-000697,CH403122,XENBA955U65NXG0ZW
S-935,,,Hydrogen Injector,2026-01-30 02:00:00,2026-01-30,Critical,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,E-1001,Noise,5806,North America,Canada,Engineering,[TEST-VARIANT-B] Review Engine Control Module Turbocharger: possible noise and reduced performance. asap :: synthetic drift scenario,227177,miles,P-8083,Hydrogen Drive Unit,Brazil,Quality,,Escalation Lab,Brakes,Warranty Claim,Medium,VIP Hotline,Open,Awaiting Parts,Investigation,variant-b-000698,CH789847,KZCF4GK90400VRWHP
S-727,2026-04-04,2026-04-04 03:21:02+00:00,Hydrogen Injector,2026-01-30 03:00:00,2026-01-30,Critical,Fleet Operator,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,W-2001,Wear,6707,North America,USA,Engineering,"[TEST-VARIANT-B] Transmission System Hydraulic Pump has wear, unclear if related to recent service. :: synthetic drift scenario",115878,km,P-6890,Hydrogen Drive Unit,Germany,Field Service,212400.0,Warranty Taskforce,Body/Chassis,Performance Issue,Critical,Proactive Monitoring,Closed,Closed,Completed,variant-b-000699,CH506940,YG7AV71Y9YUZPUNG1
S-503,,,AI Sensor Rack,2026-01-30 04:00:00,2026-01-30,Medium,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,E-1004,Overheating,2644,South America,Brazil,Field Service,[TEST-VARIANT-B] There is thermal issue on the Fuel Injetcor Needs parts repro after warm-up pls :: synthetic drift scenario,164541,miles,P-6059,Hydrogen Drive Unit,USA,Quality,,Field Ops Rapid,Suspension,Safety Concern,High,Proactive Monitoring,Open,In Progress,Action Required,variant-b-000700,CH414000,A7K0TZMKVDDAMUNNN
S-736,,,Safety Controller,2026-01-30 05:00:00,2026-01-30,Low,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1001,Wear,5039,North America,Canada,Operations,[TEST-VARIANT-B] Gearbox has been abrasion during operation Urgent review happens intermittently :: synthetic drift scenario,278998,km,P-6874,Hydrogen Drive Unit,USA,Field Service,,Warranty Taskforce,Suspension,Technical Issue,High,Proactive Monitoring,Open,Awaiting Parts,Waiting on Customer,variant-b-000701,CH986588,XEMTGF7D5YF4BW8KS
S-188,,,Hydrogen Injector,2026-01-30 06:00:00,2026-01-30,Critical,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1001,Wear,5475,Asia,Canada,Engineering,[TEST-VARIANT-B] There is worn on the Cooling Pump. Needs parts. :: synthetic drift scenario,485562,miles,P-8953,Hydrogen Drive Unit,France,Engineering,,Field Ops Rapid,Brakes,Recall Related,High,VIP Hotline,Open,Awaiting Parts,Investigation,variant-b-000702,CH817402,R4NCCVHZK5SVFFTMT
S-417,2025-10-22,2025-10-22 20:21:06+00:00,Safety Controller,2026-01-30 07:00:00,2026-01-30,Critical,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1002,Failure,3618,South America,Canada,Field Service,[TEST-VARIANT-B] Cooling Pump seems to have stopped working; driver says it started aftre startup. :: synthetic drift scenario,295956,km,P-9389,Hydrogen Drive Unit,Brazil,Quality,1857600.0,Field Ops Rapid,Brakes,Technical Issue,High,Proactive Monitoring,Closed,Resolved,Action Required,variant-b-000703,CH225866,HELU03GVHUZ8APR6H
S-943,,,AI Sensor Rack,2026-01-30 08:00:00,2026-01-30,Low,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,E-1004,Noise,343,Asia,Canada,Engineering,"[TEST-VARIANT-B] Brake System Brake Pasd has noise, unclear if related to recent service. :: synthetic drift scenario",260387,miles,P-7039,Hydrogen Drive Unit,France,Engineering,,Escalation Lab,Suspension,Technical Issue,High,Proactive Monitoring,Open,In Progress,Reopened,variant-b-000704,CH376394,3AX4534E3Z1DC4SJG
S-762,2025-11-17,2025-11-17 19:23:47+00:00,Safety Controller,2026-01-30 09:00:00,2026-01-30,Critical,Independent Owner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,F-3001,Noise,7025,EU,Canada,Operations,[TEST-VARIANT-B] Review Brake System Brkae Pads: possible clunking and reduced performance. needs inspection. :: synthetic drift scenario,361990,miles,P-9219,Autonomous Controller,China,Operations,817200.0,Escalation Lab,Transmission,Technical Issue,Critical,Proactive Monitoring,Closed,Resolved,Waiting on Customer,variant-b-000705,CH506527,N89B7ADLVFSTYC9DZ
S-184,,,Hydrogen Injector,2026-01-30 10:00:00,2026-01-30,Medium,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,W-2002,Noise,2717,North America,Germany,Engineering,[TEST-VARIANT-B] Customer reports noise at the fuel injector of the engine control module. :: synthetic drift scenario,457343,km,P-6698,Hydrogen Drive Unit,France,Field Service,,Escalation Lab,Brakes,Maintenance Request,Critical,VIP Hotline,Open,Escalated,Reopened,variant-b-000706,CH538647,EAG9TM6W0KYNN5MXY
S-260,2026-03-09,2026-03-09 23:16:40+00:00,Hydrogen Injector,2026-01-30 11:00:00,2026-01-30,Low,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,F-3001,Wear,1864,Asia,Germany,Sales,[TEST-VARIANT-B] Degraded affecting Hydraulic Line on Brake System. Driver report. :: synthetic drift scenario,90209,miles,P-3971,Hydrogen Drive Unit,China,Engineering,856800.0,Warranty Taskforce,Engine,Safety Concern,Critical,VIP Hotline,Closed,Closed,Completed,variant-b-000707,CH439093,N40XC6S8WWZ4UN8FD
S-112,,,Hydrogen Injector,2026-01-30 12:00:00,2026-01-30,High,Independent Owner,San Jose,D-1001,USA,Northway Dealer,CA,E-1002,Leak,4890,South America,USA,Customer Support,[TEST-VARIANT-B] Turbocharger appears leaking Intermittent fault occurs on cold start :: synthetic drift scenario,282856,miles,P-7949,Hydrogen Drive Unit,Brazil,Customer Support,,Escalation Lab,Electrical,Safety Concern,Medium,Proactive Monitoring,Open,In Progress,Action Required,variant-b-000708,CH901421,TS0KJ74PVPHR9GVAJ
S-930,,,AI Sensor Rack,2026-01-30 13:00:00,2026-01-30,High,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,W-2001,Failure,3253,North America,Brazil,Field Service,[TEST-VARIANT-B] Turbocharger appears stopped working. No error light. repro after warm-up. :: synthetic drift scenario,498850,km,P-9653,Hydrogen Drive Unit,China,Operations,,Escalation Lab,Brakes,Recall Related,High,VIP Hotline,Open,Escalated,Completed,variant-b-000709,CH571514,EPAWNFBFT453WV73E
S-791,,,Safety Controller,2026-01-30 14:00:00,2026-01-30,Critical,Fleet Operator,San Jose,D-1001,USA,Northway Dealer,CA,E-1001,Noise,3769,EU,France,Quality,[TEST-VARIANT-B] Hydraulic Line has been rattle during operation. Urgent review. hceck asap. :: synthetic drift scenario,441133,miles,P-1077,Autonomous Controller,Canada,Customer Support,,Field Ops Rapid,Brakes,Safety Concern,High,VIP Hotline,Open,New,Reopened,variant-b-000710,CH886901,B0JZN5BKZ1HY9UTEK
S-809,,,Safety Controller,2026-01-30 15:00:00,2026-01-30,Low,Service Partner,Toronto,D-1005,Canada,CanService Dealer,ON,E-1001,Failure,1950,North America,Canada,Sales,[TEST-VARIANT-B] Stopped working affecting Clutch on Transmission System. Customer complaint. :: synthetic drift scenario,129722,miles,P-8632,Autonomous Controller,Germany,Customer Support,,Field Ops Rapid,Body/Chassis,Performance Issue,Critical,Proactive Monitoring,Open,New,Completed,variant-b-000711,CH466839,WS504BA0W19KVDL7T
S-275,,,Hydrogen Injector,2026-01-30 16:00:00,2026-01-30,High,Fleet Operator,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1002,Overheating,1985,Asia,France,Operations,[TEST-VARIANT-B] Thermal issue affecting Turbocharger on Engine Control Module. Tech notes. :: synthetic drift scenario,401114,km,P-7412,Hydrogen Drive Unit,USA,Customer Support,,Escalation Lab,Transmission,Technical Issue,Critical,Proactive Monitoring,Open,Awaiting Parts,Action Required,variant-b-000712,CH355823,FTRZ3A4XLZ6DG090R
S-999,,,Hydrogen Injector,2026-01-30 17:00:00,2026-01-30,High,Dealer,San Jose,D-1001,USA,Northway Dealer,CA,E-1005,Leak,525,EU,USA,Engineering,[TEST-VARIANT-B] ABS Sensor appears leak. Intermittent fault. :: synthetic drift scenario,77295,km,P-5994,Hydrogen Drive Unit,Germany,Field Service,,Escalation Lab,Suspension,Recall Related,High,VIP Hotline,Open,Assigned,Completed,variant-b-000713,CH642029,ALF2P74EH5MPGUR1K
S-918,,,AI Sensor Rack,2026-01-30 18:00:00,2026-01-30,Medium,Dealer,Munich,D-1002,Germany,EuroAuto Dealer,Bavaria,E-1001,Wear,2054,North America,Canada,Operations,[TEST-VARIANT-B] Review Engine Control Module Cooling Pump: possible wear and reduced performance.Need help. :: synthetic drift scenario,476779,miles,P-5996,Hydrogen Drive Unit,Canada,Engineering,,Warranty Taskforce,Brakes,Maintenance Request,High,VIP Hotline,Open,In Progress,Parts Ordered,variant-b-000714,CH149154,86H9R28GF2RD5U4KG
S-495,,,Hydrogen Injector,2026-01-30 19:00:00,2026-01-30,Low,Service Partner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1002,Leak,6951,EU,China,Quality,"[TEST-VARIANT-B] Uregnt: leak observed in Hydraulic Line, maybe the brake systemFYI :: synthetic drift scenario",387751,km,P-8075,Autonomous Controller,Brazil,Engineering,,Warranty Taskforce,Brakes,Warranty Claim,Medium,Proactive Monitoring,Open,In Progress,Waiting on Customer,variant-b-000715,CH200479,MZDJ7WY8K3KV4EF0W
S-178,2026-02-20,2026-02-20 21:18:15+00:00,Hydrogen Injector,2026-01-30 20:00:00,2026-01-30,Medium,Dealer,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,F-3002,Leak,2533,South America,Germany,Field Service,[TEST-VARIANT-B] Battery seems to have drip; driver says it started after startup. :: synthetic drift scenario,234576,km,P-3610,Hydrogen Drive Unit,China,Engineering,1544400.0,Field Ops Rapid,Body/Chassis,Safety Concern,Critical,VIP Hotline,Closed,Closed,Parts Ordered,variant-b-000716,CH192987,VXPHZHGXV61HMBMLU
S-200,2026-03-21,2026-03-21 13:28:25+00:00,AI Sensor Rack,2026-01-30 21:00:00,2026-01-30,Low,Dealer,Toronto,D-1005,Canada,CanService Dealer,ON,E-1004,Wear,4412,Asia,Canada,Engineering,[TEST-VARIANT-B] Found worn from Clutch No clear root cause :: synthetic drift scenario,13140,miles,P-2227,Hydrogen Drive Unit,China,Customer Support,1674000.0,Warranty Taskforce,Engine,Recall Related,Critical,Proactive Monitoring,Closed,Closed,Action Required,variant-b-000717,CH575688,4WR0CT8JZHDY67LE9
S-135,,,Hydrogen Injector,2026-01-30 22:00:00,2026-01-30,Medium,Service Partner,San Jose,D-1001,USA,Northway Dealer,CA,E-1005,Overheating,7100,EU,Germany,Customer Support,[TEST-VARIANT-B] Clutch seems to have running hot; driver says it started after startup. custmoer says it is getting worse. :: synthetic drift scenario,213680,miles,P-3595,Autonomous Controller,France,Customer Support,,Escalation Lab,Body/Chassis,Warranty Claim,Critical,Proactive Monitoring,Open,Awaiting Parts,Investigation,variant-b-000718,CH982873,ZRTJ7TA20WLNPB2MS
S-962,2026-02-27,2026-02-27 10:38:25+00:00,Safety Controller,2026-01-30 23:00:00,2026-01-30,Low,Dealer,Shenzhen,D-1003,China,AsiaMotor Dealer,Guangdong,E-1005,Failure,722,EU,China,Quality,[TEST-VARIANT-B] Fuel Injector appears failure. Some hesitation. no obvious warning light.Need help. :: synthetic drift scenario,476238,miles,P-8186,Hydrogen Drive Unit,France,Sales,1144800.0,Escalation Lab,Body/Chassis,Maintenance Request,High,Proactive Monitoring,Closed,Resolved,Investigation,variant-b-000719,CH504132,7R9022LZ5HCNY48YG
S-398,,,Hydrogen Injector,2026-01-31 00:00:00,2026-01-31,Critical,Service Partner,Sao Paulo,D-1004,Brazil,AmeCar Dealer,SP,E-1004,Wear,6790,North America,USA,Customer Support,"[TEST-VARIANT-B] Brake System Hydraulic Line has wear, unclear if related to recent svc. customer says it is getting worse.FYI :: synthetic drift scenario",277044,km,P-8459,Hydrogen Drive Unit,Brazil,Operations,,Field Ops Rapid,Suspension,Performance Issue,Critical,Proactive Monitoring,Open,Assigned,Parts Ordered,variant-b-000720,CH714113,DK4FPSHB6VZBH1XCA
